optimizer,dataset,mean_h0_features,std_h0_features,mean_h1_features,std_h1_features,mean_h2_features,std_h2_features,mean_h0_lifetime,mean_h1_lifetime,mean_h2_lifetime,total_particles
spectralnorm,validation,126.85,0.3570714214271425,43.25,6.283908019696023,6.2,2.039607805437114,558.0380910826641,49.98860322719199,17.401190390679343,20
spectralnorm,validation_corrupt,126.75,0.5361902647381804,67.85,9.237288563209443,15.7,5.478138369920935,609.26069183197,38.11969323694775,14.914507336526256,20
muon10p,validation,127.0,0.0,70.2,4.64327470649756,24.45,5.995623403783797,47.30580556305914,2.7717963279891826,1.082090386221958,20
muon10p,validation_corrupt,127.0,0.0,84.15,11.900735271402352,22.75,10.148275715608046,46.79302941767871,1.7322365733476626,0.7456753087515434,20
muonspectralnorm,validation,127.0,0.0,79.95,5.132981589680602,40.05,5.774729430891114,5.033654505112257,0.3174668164970581,0.13002549892355916,20
muonspectralnorm,validation_corrupt,127.0,0.0,90.0,8.384509526501834,33.95,8.806105836293362,5.433955319844306,0.1975727781510476,0.08458969247974125,20
adam,validation,127.0,0.0,43.05,5.191098149717456,6.5,2.3345235059857505,290.2410283113751,28.263303019081217,10.714587100805229,20
adam,validation_corrupt,126.9,0.43588989435406733,68.45,7.290233192429444,15.35,3.8636122993903,304.2665143444217,20.821467044968948,7.8608596449529475,20
10p,validation,126.85,0.3570714214271425,43.25,6.283908019696023,6.2,2.039607805437114,558.0380910826641,49.98860322719199,17.401190390679343,20
10p,validation_corrupt,126.9,0.30000000000000004,65.5,7.385797181076664,13.55,5.258089006473741,617.4268710424592,39.10758648447964,16.25293580625735,20
adamw,validation,126.85,0.3570714214271425,43.25,6.283908019696023,6.2,2.039607805437114,558.0380910826641,49.98860322719199,17.401190390679343,20
adamw,validation_corrupt,126.95,0.21794494717703367,63.95,4.758938957372746,14.45,4.2482349275905165,615.6748850901856,40.00813940219033,15.737765616900845,20
muon,validation,127.0,0.0,48.1,5.3,6.7,2.7404379212089442,420.6527560404992,18.567282201210414,7.876128936314612,20
muon,validation_corrupt,127.0,0.0,63.25,8.073877630977572,12.8,5.6267219586540795,479.2514502698517,16.44548693735286,6.9877848576629145,20
