optimizer,epoch,dataset,dimension,mean_pairwise_distance,std_pairwise_distance,stability_score,num_particles,mean_feature_count,std_feature_count,mean_lifetime,std_lifetime
spectralnorm,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
spectralnorm,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
spectralnorm,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
spectralnorm,0,validation_corrupt,H0,21.95489912790952,12.945729716117873,0.07170653815585162,20,126.95,0.21794494717703367,2.951542141831376,0.026610081891402
spectralnorm,0,validation_corrupt,H1,21.95489912790952,12.945729716117873,0.07170653815585162,20,73.3,12.740094191174569,0.06570128799614275,0.006750931236744513
spectralnorm,0,validation_corrupt,H2,21.95489912790952,12.945729716117873,0.07170653815585162,20,16.75,5.973901572674261,0.027084279378802117,0.004992729825217948
spectralnorm,30,validation,H0,72.72750915849105,41.30638151627351,0.023637095968969634,20,126.85,0.3570714214271425,558.0380910826641,40.56813039890075
spectralnorm,30,validation,H1,72.72750915849105,41.30638151627351,0.023637095968969634,20,43.25,6.283908019696023,49.98860322719199,7.737993748198484
spectralnorm,30,validation,H2,72.72750915849105,41.30638151627351,0.023637095968969634,20,6.2,2.039607805437114,17.401190390679343,7.6114355325931164
spectralnorm,30,validation_corrupt,H0,73.01163389276792,44.46035113140427,0.02199719041125475,20,126.75,0.5361902647381804,609.26069183197,43.076227619183264
spectralnorm,30,validation_corrupt,H1,73.01163389276792,44.46035113140427,0.02199719041125475,20,67.85,9.237288563209443,38.11969323694775,5.243645914295586
spectralnorm,30,validation_corrupt,H2,73.01163389276792,44.46035113140427,0.02199719041125475,20,15.7,5.478138369920935,14.914507336526256,3.9301540683346396
muon10p,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
muon10p,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
muon10p,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
muon10p,0,validation_corrupt,H0,17.318088073410387,8.602035027616516,0.1041445898836954,20,126.95,0.21794494717703367,2.9367251171863726,0.025085142916831563
muon10p,0,validation_corrupt,H1,17.318088073410387,8.602035027616516,0.1041445898836954,20,70.15,8.696407304168774,0.06605588268683046,0.0078563430478719
muon10p,0,validation_corrupt,H2,17.318088073410387,8.602035027616516,0.1041445898836954,20,16.75,5.898092912119985,0.027355664427355743,0.005220476797971735
muon10p,30,validation,H0,13.937381634672414,8.008195889274809,0.11101001935255467,20,127.0,0.0,47.30580556305914,0.8198560142838771
muon10p,30,validation,H1,13.937381634672414,8.008195889274809,0.11101001935255467,20,70.2,4.64327470649756,2.7717963279891826,0.20595817229615987
muon10p,30,validation,H2,13.937381634672414,8.008195889274809,0.11101001935255467,20,24.45,5.995623403783797,1.082090386221958,0.26222237250640346
muon10p,30,validation_corrupt,H0,27.375674457367936,16.071131144396237,0.05857842644060875,20,127.0,0.0,46.79302941767871,0.9880920909880605
muon10p,30,validation_corrupt,H1,27.375674457367936,16.071131144396237,0.05857842644060875,20,84.15,11.900735271402352,1.7322365733476626,0.1860089969412785
muon10p,30,validation_corrupt,H2,27.375674457367936,16.071131144396237,0.05857842644060875,20,22.75,10.148275715608046,0.7456753087515434,0.12558030563121855
muonspectralnorm,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
muonspectralnorm,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
muonspectralnorm,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
muonspectralnorm,0,validation_corrupt,H0,18.878406686905198,10.993025383535798,0.0833817963374625,20,127.0,0.0,2.931524388846241,0.020141842598785712
muonspectralnorm,0,validation_corrupt,H1,18.878406686905198,10.993025383535798,0.0833817963374625,20,70.4,8.765842800324451,0.06684058456806338,0.006944025090851391
muonspectralnorm,0,validation_corrupt,H2,18.878406686905198,10.993025383535798,0.0833817963374625,20,16.85,7.15733889095661,0.028563240735376742,0.008623340796607308
muonspectralnorm,30,validation,H0,12.798183044991669,6.585895642533148,0.13182359040020636,20,127.0,0.0,5.033654505112257,0.04889660295857489
