optimizer,epoch,particle,trace,det,logdet,maxeig,mineig,eigval_coef_var,log_eigval_coef_var,log_maxeig,log_mineig
adamw,1,1,437.2326309606433,239.88295432429084,5.4801510870456696,408.61987,0.068812765,2.063875,0.7245853,6.0127854,-2.676366
adamw,1,2,379.54431088268757,165.30232934520527,5.107776165008545,357.8645,0.1397856,2.085337,0.73493046,5.8801546,-1.9676454
adamw,1,3,623.9897524639964,1296.4078856386623,7.167352557182312,584.6213,0.10493975,2.0700197,0.72755814,6.370964,-2.2543688
adamw,1,4,688.7777604162693,5505.482491666419,8.613499641418457,652.85394,0.2975988,2.0981872,0.7410737,6.4813533,-1.212009
adamw,1,5,558.8851711302996,2754.7846236367704,7.92109465226531,526.8373,0.20246881,2.0845525,0.73455423,6.266892,-1.5971694
adamw,1,6,710.8576248586178,1408.257321532663,7.250108361244202,679.0816,0.1417332,2.117678,0.7503202,6.5207415,-1.9538089
adamw,1,7,440.31204252690077,262.9307507810906,5.571890652179718,413.26694,0.06833833,2.0740535,0.72950494,6.0240936,-2.6832845
adamw,1,8,697.6561646461487,713.3647830773575,6.569993257522583,671.37646,0.19201007,2.1361012,0.7589823,6.5093303,-1.6502074
adamw,1,9,826.1915360987186,9664.494590442462,9.176214098930359,790.0797,0.34133837,2.1201167,0.75147116,6.672134,-1.0748811
adamw,1,10,998.2839186191559,19248.57543651194,9.865192711353302,952.8484,0.4392817,2.1156416,0.7493581,6.859456,-0.8226144
adamw,1,11,562.6649682819843,381.4492064594762,5.943977653980255,538.20593,0.13351396,2.1209033,0.7518421,6.2882414,-2.0135493
adamw,1,12,766.9438552260399,201.42307781045372,5.3054075837135315,749.49133,0.14910261,2.1754177,0.77722067,6.619395,-1.9031205
adamw,1,13,761.9283003807068,6595.500000411812,8.794143229722977,722.18054,0.19648042,2.0981038,0.741034,6.5822754,-1.6271925
adamw,1,14,816.507816195488,1305.6272147488403,7.1744392812252045,782.72766,0.043649673,2.1263528,0.75440824,6.662785,-3.1315594
adamw,1,15,751.1278492808342,19832.64237134871,9.895084112882614,702.56995,0.3114434,2.0654335,0.7253401,6.5547447,-1.1665378
adamw,1,16,460.91532449424267,111.3278488668745,4.7124791741371155,442.71542,0.12342326,2.131259,0.75671285,6.092927,-2.0921357
adamw,1,17,731.7534683048725,2724.7363693342445,7.91012716293335,694.1063,0.16924164,2.1001823,0.7420242,6.5426254,-1.7764277
adamw,1,18,770.804403796792,4195.22241263793,8.341701984405518,732.5585,0.18197428,2.1047385,0.7441912,6.5965433,-1.7038898
adamw,1,19,668.6853030771017,386.86659755562573,5.958080291748047,640.7935,0.1209781,2.1255863,0.75404763,6.4627075,-2.1121457
adamw,2,1,1022.9052113294601,19277.838290216798,9.866711422801018,966.4579,0.25635174,2.090542,0.7374234,6.8736377,-1.3612047
adamw,2,2,720.8631453365088,4452.424701198757,8.40120416879654,680.0541,0.24651255,2.0866916,0.73557985,6.5221725,-1.4003423
adamw,2,3,866.3187674283981,3275.5762453207585,8.09424877166748,816.06464,0.10860661,2.083124,0.73386866,6.7044935,-2.2200232
adamw,2,4,1365.0939967930317,252202.06792648346,12.43798542022705,1284.0466,0.44444522,2.079637,0.7321934,7.1577716,-0.81092846
adamw,2,5,945.2080791890621,53906.19267003685,10.895000785589218,880.8544,0.28968108,2.0569158,0.7212077,6.7808924,-1.2389747
